time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc_x_raw,acc_y_raw,acc_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw
1562625437.29,0.0684057270869,-0.187214187164,0.815900572561,-5.82278624782,-19.3293828258,-52.9082474804,1120.75943259,-3067.3172425,13367.7149808,-762.784998464,-2532.14915018,-6930.98041993
1562625437.4,0.148039763753,-0.15836093251,0.827547819992,8.71674428536,-13.124688818,-55.5303998316,2425.48348933,-2594.58551825,13558.5434828,1141.89350138,-1719.33423516,-7274.48237794
1562625437.51,0.19156098269,-0.0731156595716,0.801482491118,-4.29157136455,-20.7305405469,-74.9911003064,3138.5351404,-1197.92696642,13131.4891345,-562.195848756,-2715.70081164,-9823.83414014
1562625437.62,0.265080665671,-0.0642415936144,0.760933851381,-8.71203254871,-38.2109216067,-62.9019139399,4343.08162636,-1052.53426978,12467.140221,-1141.27626388,-5005.63073048,-8240.15072613
1562625437.73,0.306736661604,-0.0142383326905,0.687941052181,-8.40876822513,-52.9707454766,-56.5285164391,5025.57346372,-233.280842801,11271.2261989,-1101.54863749,-6939.16765743,-7405.23565352
1562625437.84,0.330921393881,-0.0185029759839,0.627350071963,-32.5816318606,-59.6980984098,-25.8626876959,5421.81611735,-303.152758521,10278.503579,-4268.19377374,-7820.45089169,-3388.01208817
1562625437.95,0.370924957618,0.00444107161445,0.544864088204,-29.6242320333,-63.2023343704,-20.1542815217,6077.23450562,72.7625173312,8927.05322113,-3880.77439637,-8279.50580252,-2640.21087935
1562625438.07,0.443500430606,0.050188370703,0.475997796571,-22.6526485247,-79.1653070402,-21.2716777971,7266.31105505,822.286265598,7798.74789902,-2967.49695673,-10370.6552223,-2786.58979141
1562625438.18,0.447465817233,0.0898960961327,0.362113837226,-19.2499790921,-80.9777839698,-19.5979451318,7331.27994955,1472.85763904,5932.87310912,-2521.74726106,-10608.0897,-2567.33081227
1562625438.29,0.490170407385,0.135569572457,0.263548937879,-15.8608590454,-85.2349674049,-19.061051382,8030.95195459,2221.17187513,4317.98579821,-2077.77253495,-11165.78073,-2496.99773105
1562625438.4,0.497452194771,0.140567302711,0.152989942528,-13.8266815378,-85.7946767712,-14.1022744881,8150.25675913,2303.05468762,2506.58721838,-1811.29528146,-11239.102657,-1847.39795794
1562625438.51,0.509474553419,0.162765455253,0.0555620420255,-10.4882881932,-82.9251327582,-10.7248714668,8347.23108322,2666.74921886,910.328496546,-1373.96575331,-10863.1923913,-1404.95816215
1562625438.62,0.50005541839,0.161625628477,-0.039203146552,-6.41197845787,-81.3524668107,-7.82414004528,8192.9079749,2648.07429697,-642.304353108,-839.969177981,-10657.1731522,-1024.96234593
1562625438.73,0.472510814051,0.150467948442,-0.131474238147,-1.86162030674,-91.501952954,-2.01653520106,7741.61717741,2465.26686728,-2154.0739178,-243.872260183,-11986.755837,-264.166111339
1562625438.84,0.385245084208,0.147896739535,-0.230851228395,-1.07927506996,-97.8074828495,7.94084350989,6311.85545967,2423.14018055,-3782.26652602,-141.385034164,-12812.7802533,1040.2504998
1562625438.95,0.329240107037,0.164772104644,-0.312136222743,-2.01180557823,-94.3587956332,12.822331678,5394.2699137,2699.62616249,-5114.03987342,-263.546530748,-12361.002228,1679.72544982
1562625439.06,0.251516291646,0.13481833168,-0.391176506718,2.76189406356,-95.5649008027,12.3629992735,4120.84292233,2208.86354624,-6409.03588607,361.808122327,-12519.0020052,1619.55290483
1562625439.18,0.156100990607,0.118431225074,-0.444881121672,8.18799473354,-92.3580290431,14.0091420943,2557.5586301,1940.37719162,-7288.93229747,1072.62731009,-12098.9018046,1835.19761435
1562625439.29,0.0918092509209,0.0956261885045,-0.484255314192,11.2485845732,-82.9092490395,11.0097546024,1504.20276709,1566.73947246,-7934.03906772,1473.56457908,-10861.1116242,1442.27785292
1562625439.4,0.0669300836413,0.017850679029,-0.508534860898,15.9481535968,-71.60305696,4.29045853148,1096.58249038,292.465525212,-8331.83516095,2089.20812118,-9380.00046176,562.050067624
1562625439.51,-0.0190842137853,0.00317498612614,-0.600723366995,16.5586817485,-56.9480947754,7.87591649513,-312.675758658,52.0189726907,-9842.25164485,2169.18730906,-7460.20041558,1031.74506086
1562625439.62,-0.0332646595943,-0.0323964187365,-0.642701811546,13.9302944897,-51.115117359,3.52725614332,-545.008182793,-530.782924578,-10530.0264804,1824.86857815,-6696.08037402,462.070554775
1562625439.73,-0.0700260842598,-0.00230130811283,-0.713978505391,-2.20853648597,-44.6150560047,8.09285113968,-1147.30736451,-37.7046321205,-11697.8238323,-289.318279662,-5844.57233662,1060.1634993
